Product Name,SKU,Description,Image URL,Product URL
"Nike Victori One Slide
Black White",CN9675-002,"The Nike Victori One Slide Black White is a slip-on sandal with a minimalist silhouette and an all-black construction.

""NIKE"" in bold white lettering graces the strap across the forefoot and is the dominant branding detail on the shoe. The molded footbed is lightweight and conforms to the foot’s shape. The grip pattern in the forefoot and toe area prevents the shoe from slipping off and adds texture to the footbed. A logo tag, which lists sizing and material information, can be found on the underside of the forefoot strap. Its placement doesn’t distract from the sneaker’s minimalist design or all-black aesthetic.

Our StockX experts like that the forefoot strap is made of a soft material that mimics leather and doesn’t chaff the foot or add additional weight. The Nike Victori One Slide Black White was released on September 14, 2020, and retailed at a price of $30.",https://images.stockx.com/360/Nike-Victori-One-Slide-Black-White/Images/Nike-Victori-One-Slide-Black-White/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1635345497&h=384,https://stockx.com/nike-victori-one-slide-black-white
"Nike Calm Slide
Black (Women's)",DX4816-001,"Black Nike Calm Slide (Women's) offers a clear design with a black finish and minimal branding. This slide targets those who prefer useful comfort in their shoes. The simple profile and slip-on design of these slides suit everyday use and light outdoor activities.

Black Calm Slide (Women's) by Nike uses a single-piece foam structure that gives wearers cushioning and a consistent base. The footbed carries a subtle, debossed Nike mark and a textured grip pattern. There's a rubber outsole to complete the design and for extra traction. This slide was developed by Nike‚Äîa company that evolved from Blue Ribbon Sports in the early 1970s‚Äîand is water-resistant and easy to maintain.

Something we love about the Black Nike Calm Slide (Women's) is the open-heel design for airflow and the contoured insole that supports proper foot placement and a balanced stance. These qualities give you practical benefits without going overboard. It retailed at $50 when it was released on July 14th, 2023.",https://images.stockx.com/360/Nike-Calm-Slide-Black-W/Images/Nike-Calm-Slide-Black-W/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1688113424&h=384,https://stockx.com/nike-calm-slide-black-w
"Nike ReactX Rejuven8
Green Strike",HV5060-300,"The Nike ReactX Rejuven8 Green Strike introduces a bold new take on comfort and functionality. Designed for all-day wear, this lightweight slip-on features a striking green strike colorway that commands attention. The wavy-textured upper enhances the overall aesthetic, while strategically placed ventilation holes ensure airflow and comfort throughout the day.

Built with Nike’s advanced ReactX cushioning, making it ideal for those who are constantly on the move and want a comfortable shoe. The slip-on construction, combined with a flexible, contoured fit, ensures effortless wearability.

Releasing on March 5, 2025, the Nike ReactX Rejuven8 Green Strike retailed for $70. Whether for casual wear or post-workout recovery, this shoe delivers a blend of functionality and style that makes it a standout in Nike’s lineup.",https://images.stockx.com/360/Nike-ReactX-Rejuven8-Green-Strike/Images/Nike-ReactX-Rejuven8-Green-Strike/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1741965873&h=384,https://stockx.com/nike-reactx-rejuven8-green-strike
"Nike ReactX Rejuven8
Khaki",HV5060-200,,https://images.stockx.com/360/Nike-ReactX-Rejuven8-Khaki/Images/Nike-ReactX-Rejuven8-Khaki/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1746739295&h=384,https://stockx.com/nike-reactx-rejuven8-khaki
"Nike Calm Slide
Flat Pewter",FD4116-002,,https://images.stockx.com/images/Nike-Calm-Slide-Flat-Pewter.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1722282713,https://stockx.com/nike-calm-slide-flat-pewter
"Nike Victori One Slide
White Black",CN9675-005,,https://images.stockx.com/360/Nike-Victori-One-Slide-White-Black/Images/Nike-Victori-One-Slide-White-Black/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1722284594&h=384,https://stockx.com/nike-victori-one-slide-white-black
"Nike ReactX Rejuven8 Slide
Dusty Cactus Game Royal",HV4479-300,,https://images.stockx.com/360/Nike-ReactX-Rejuven8-Slide-Dusty-Cactus-Game-Royal/Images/Nike-ReactX-Rejuven8-Slide-Dusty-Cactus-Game-Royal/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1748618674&h=384,https://stockx.com/nike-reactx-rejuven8-slide-dusty-cactus-game-royal
"Nike ReactX Rejuven8 Slide
Summit White",HV4479-100,,https://images.stockx.com/360/Nike-ReactX-Rejuven8-Slide-Summit-White/Images/Nike-ReactX-Rejuven8-Slide-Summit-White/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1746645984&h=384,https://stockx.com/nike-reactx-rejuven8-slide-summit-white
"Nike ReactX Rejuven8
Safety Orange",HV5060-800,"The Nike ReactX Rejuven8 Safety Orange is a bold and eye-catching addition to Nike's innovative footwear lineup. Designed for men, these shoes feature a striking Safety Orange colorway with Metallic Silver and Total Orange accents, creating a vibrant and energetic aesthetic. The ReactX technology incorporated into the midsole provides responsive cushioning and energy return, making these shoes ideal for both athletic performance and everyday wear. Built with Nike's commitment to comfort and style, the ReactX Rejuven8 boasts a sleek silhouette that combines modern design elements with functional features. The upper is crafted to offer breathability and support, while the durable outsole ensures traction on various surfaces. Whether you're hitting the gym, running errands, or simply looking for a standout sneaker to elevate your casual outfit, these shoes deliver on both form and function. Us at StockX believe this product is great for those seeking a versatile and comfortable shoe that doesn't compromise on style. The ReactX Rejuven8 Safety Orange is perfect for sneaker enthusiasts who want to make a statement while enjoying the benefits of Nike's cutting-edge cushioning technology.",https://images.stockx.com/360/Nike-ReactX-Rejuven8-Safety-Orange-Womens/Images/Nike-ReactX-Rejuven8-Safety-Orange-Womens/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1741965873&h=384,https://stockx.com/nike-reactx-rejuven8-safety-orange
"Nike ACG Rufus
Limestone Black",FV2923-200,"The Nike ACG Rufus Limestone Black is a unique slipper that has now made a comeback after about a decade.

This model of the Nike ACG Rufus is made with a seamless suede upper in a Limestone tan color. The only design seen on the upper is a small Nike Swoosh embossed into the lateral side. The midsole is black rubber that dons a wavy texture near the bottom, and speckled Limestone tan forms the thick outsole, fully enclosing the black midsole. A small black Nike swoosh appears on the front tip of the outsole. The midsole has foam cushioning for extra comfort.

Our favorite thing about this shoe is the unique black midsole unit that contrasts nicely with the Limestone color of the rest of the shoe. The Nike ACG Rufus Limestone Black was first released on May 10, 2024, for an initial retail price of $110.",https://images.stockx.com/360/Nike-ACG-Rufus-Limestone-Black/Images/Nike-ACG-Rufus-Limestone-Black/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1715174464&h=384,https://stockx.com/nike-acg-rufus-limestone-black
"Nike Mercurial Vapor 16 Elite FG
Mad Energy Pack",FQ1457-800,,https://images.stockx.com/360/Nike-Mercurial-Vapor-16-Elite-FG-Mad-Energy-Pack/Images/Nike-Mercurial-Vapor-16-Elite-FG-Mad-Energy-Pack/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1748535405&h=384,https://stockx.com/nike-mercurial-vapor-16-elite-fg-mad-energy-pack
"Nike Maxfly 2
Denim Turquoise Light Photo Blue Doll Sail",HQ1843-400,"An elite sprint shoe that is perfect for running and hurdles, the Nike Maxfly 2 Denim Turquoise Light Photo Blue Doll Sail is a sleek, responsive and high propulsion shoe that supports as it delivers on energy return.

This high-performing spike shoe is a sure-fire way to get the return you need on the running track. With full-length Zoom Air unit for cushioning and the carbon ""Flyplate"" fibreplate, the lightweight upper allows you to do what you do best and soar. In a fresh blue color palette consisting of several shades with striped highlights, the white Nike swoosh sits boldly along the outers and inners of the shoes. 

We love the design of the Nike Maxfly 2’s. Subtle yet powerful, the midsoles have transparent cushioning, creating a visually striking look on the track. The Nike Maxfly 2 Denim Turquoise Light Photo Blue Doll Sail trainers were released on January 1, 2025, priced at $190 retail.",https://images.stockx.com/360/Nike-Maxfly-2-Denim-Turquoise-Light-Photo-Blue-Doll-Sail/Images/Nike-Maxfly-2-Denim-Turquoise-Light-Photo-Blue-Doll-Sail/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1742225037&h=384,https://stockx.com/nike-maxfly-2-denim-turquoise-light-photo-blue-doll-sail
"Nike Calm Mule
Hemp",FD5130-200/FD5131-200,"The Nike Calm Mule Hemp is a slip-on silhouette with a closed toe boasting an elegant and minimalist design in a monochromatic hemp colored hue.

Nike’s Calm Mule combines comfort and style. The entire shoe is dressed in a light tan, hemp shade. You’ll spot branding hits in the form of Swooshes on the lateral side of the upper, the footbed, and outsole, while the adjustable nylon heel strap sports NIKE lettering. A cutout on the medial side allows more air flow and keeps feet cool. A thick midsole provides extra cushioning and sits upon an outsole with unique traction patterns.

Our experts note that the best aspect of this shoe is its versatility and comfort. The water-friendly material is easy to clean, they are lightweight, and the ribbed footbed keeps your foot in place. The Nike Calm Mule Hemp entered the marketplace on November 11, 2023, with $60 as the recommended retail price.",https://images.stockx.com/360/Nike-Calm-Mule-Hemp/Images/Nike-Calm-Mule-Hemp/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1699291123&h=384,https://stockx.com/nike-calm-mule-hemp
"Nike ReactX Rejuven8
Pinksicle (Women's)",HV5062-601,,https://images.stockx.com/360/Nike-ReactX-Rejuven8-Pinksicle/Images/Nike-ReactX-Rejuven8-Pinksicle/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1744035999&h=384,https://stockx.com/nike-reactx-rejuven8-pinksicle
"Nike Mercurial Superfly 10 Elite FG
Glacier Blue",FQ1454-400,,https://images.stockx.com/360/Nike-Mercurial-Superfly-10-Elite-FG-Glacier-Blue/Images/Nike-Mercurial-Superfly-10-Elite-FG-Glacier-Blue/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1740068756&h=384,https://stockx.com/nike-mercurial-superfly-10-elite-fg-glacier-blue
"Nike Victory Tour 4
US Open",HJ4504-100,,https://images.stockx.com/images/Nike-Victory-Tour-4-US-Open.jpg?fit=fill&bg=FFFFFF&w=576&h=384&q=60&dpr=1&trim=color&updated_at=1748544881,https://stockx.com/nike-victory-tour-4-us-open
"Nike Kobe Offcourt Slide
Lightning",IF2870-700,,https://images.stockx.com/360/Nike-Kobe-Offcourt-Slide-Lightning/Images/Nike-Kobe-Offcourt-Slide-Lightning/Lv2/img01.jpg?w=576&q=60&dpr=1&updated_at=1749054227&h=384,https://stockx.com/nike-kobe-offcourt-slide-lightning
"Nike Zoom Mercurial Vapor 16 Elite FG
Vini Jr. Vini Fly",IB2356-001,,,https://stockx.com/nike-zoom-mercurial-vapor-16-elite-fg-vini-jr-vini-fly
